player,position,team,points,floor,ceiling,position_rank,sd_adp,bye,adp_espn,adp_sleeper,adp_rtsports,params,p_injury_game,injury_risk,flex_rank
Bijan Robinson,RB,ATL,257.0,227.0,287.0,7.5,2.8,11.0,8.0,8.0,9.0,"{'a': -0.25, 'loc': 260.75, 'scale': 18.65}",0.048,Medium,16.0
Patrick Mahomes,QB,KC,369.0,354.0,392.0,1.0,4.6,10.0,13.0,14.0,19.0,"{'a': 6.25, 'loc': 354.0, 'scale': 19.4}",0.017,Low,
Davante Adams,WR,LVR,285.0,245.0,316.0,6.0,2.4,13.0,12.0,15.0,17.0,"{'a': -3.0, 'loc': 310.5, 'scale': 33.45}",0.058,High,8.0
Jalen Hurts,QB,PHI,368.0,340.0,385.0,2.0,4.7,10.0,22.0,23.0,24.0,"{'a': -5.75, 'loc': 384.75, 'scale': 22.8}",0.051, High,
Stefon Diggs,WR,BUF,281.0,258.0,317.0,7.0,1.8,13.0,11.0,9.0,11.0,"{'a': 6.25, 'loc': 258.0, 'scale': 30.1}",0.023,Low,9.0
Josh Allen,QB,BUF,365.0,329.0,408.0,3.0,4.3,13.0,20.0,20.0,21.0,"{'a': 2.0, 'loc': 340.5, 'scale': 34.5}",0.008, Low,
Jonathan Taylor,RB,IND,245.0,211.0,278.0,9.0,3.9,11.0,26.0,24.0,27.0,"{'a': -0.75, 'loc': 256.0, 'scale': 23.25}",0.078,High,20.0
Joe Mixon,RB,CIN,239.0,217.0,287.0,10.0,8.2,7.0,25.0,38.0,31.0,"{'a': 6.25, 'loc': 217.0, 'scale': 35.65}",0.113, High,21.0
Amon-Ra St Brown,WR,DET,268.0,247.0,291.0,8.0,2.5,9.0,21.0,17.0,18.0,"{'a': 1.25, 'loc': 257.5, 'scale': 17.15}",0.026,Low,11.0
Mark Andrews,TE,BAL,212.0,189.0,235.0,2.0,4.4,13.0,35.0,26.0,30.0,"{'a': -0.0, 'loc': 212.0, 'scale': 13.899999999999999}",0.035,High,
Aaron Jones,RB,GB,234.0,211.0,259.0,11.0,4.4,6.0,34.0,41.0,40.0,"{'a': 1.25, 'loc': 222.25, 'scale': 18.75}",0.113, High,25.5
Rhamondre Stevenson,RB,NE,230.0,200.0,259.0,12.0,3.3,11.0,39.0,30.0,29.0,"{'a': -0.75, 'loc': 239.75, 'scale': 20.4}",0.093, High,29.0
Najee Harris,RB,PIT,228.0,180.0,265.0,13.0,6.9,6.0,32.0,29.0,22.0,"{'a': -3.0, 'loc': 258.25, 'scale': 39.9}",0.063,High,31.5
AJ Brown,WR,PHI,257.0,217.0,309.0,9.0,2.5,10.0,19.0,13.0,15.0,"{'a': 3.0, 'loc': 224.25, 'scale': 43.25}",0.05,High,16.0
Garrett Wilson,WR,NYJ,253.0,222.0,304.0,10.0,2.6,7.0,17.0,18.0,16.0,"{'a': 6.25, 'loc': 222.0, 'scale': 41.8}",0.023,Low,18.0
TJ Hockenson,TE,MIN,196.0,177.0,215.0,3.0,4.9,13.0,43.0,46.0,46.0,"{'a': -0.0, 'loc': 196.0, 'scale': 11.55}",0.041,High,
Travis Etienne,RB,JAC,217.0,193.0,247.0,14.0,4.9,9.0,29.0,31.0,28.0,"{'a': 2.5, 'loc': 198.75, 'scale': 24.65}",0.052,High,35.5
Jaylen Waddle,WR,MIA,246.0,212.0,269.0,11.0,2.3,10.0,23.0,22.0,23.0,"{'a': -6.0, 'loc': 268.75, 'scale': 29.0}",0.022,Low,19.0
James Conner,RB,ARI,212.0,199.0,231.0,16.5,6.9,14.0,56.0,66.0,65.0,"{'a': 5.0, 'loc': 199.5, 'scale': 16.05}",0.117, High,42.0
Jahmyr Gibbs,RB,DET,212.0,176.0,239.0,16.5,6.0,9.0,37.0,35.0,32.0,"{'a': -3.25, 'loc': 235.0, 'scale': 30.1}",0.032,Medium,42.0
Alexander Mattison,RB,MIN,208.0,186.0,233.0,18.0,7.5,13.0,61.0,58.0,47.0,"{'a': 1.75, 'loc': 194.25, 'scale': 19.75}",0.048,Medium,45.0
Lamar Jackson,QB,BAL,324.0,291.0,356.0,4.0,4.9,13.0,31.0,33.0,41.0,"{'a': -0.75, 'loc': 334.75, 'scale': 22.45}",0.042,High,
Dameon Pierce,RB,HOU,207.0,188.0,256.0,19.0,7.7,7.0,47.0,48.0,34.0,"{'a': 6.25, 'loc': 188.0, 'scale': 34.7}",0.048,Medium,46.0
Rachaad White,RB,TB,206.0,171.0,228.0,20.0,6.9,5.0,53.0,76.0,50.0,"{'a': -5.5, 'loc': 227.5, 'scale': 28.8}",0.054,High,47.0
Joe Burrow,QB,CIN,322.0,294.0,350.0,5.0,6.0,7.0,33.0,34.0,37.0,"{'a': -0.0, 'loc': 322.0, 'scale': 17.05}",0.05,High,
George Kittle,TE,SF,183.0,162.0,214.0,4.0,6.8,9.0,45.0,44.0,59.0,"{'a': 5.5, 'loc': 162.5, 'scale': 26.2}",0.122, High,
Chris Olave,WR,NO,235.0,207.0,272.0,13.0,2.4,11.0,28.0,25.0,25.0,"{'a': 3.25, 'loc': 211.25, 'scale': 31.05}",0.058,High,23.0
DeVonta Smith,WR,PHI,235.0,212.0,283.0,13.0,2.8,10.0,30.0,27.0,26.0,"{'a': 6.25, 'loc': 212.0, 'scale': 36.15}",0.063,High,23.0
Tee Higgins,WR,CIN,235.0,210.0,259.0,13.0,3.3,7.0,27.0,28.0,38.0,"{'a': -1.0, 'loc': 245.25, 'scale': 18.0}",0.122, High,23.0
Miles Sanders,RB,CAR,203.0,163.0,245.0,21.0,6.0,7.0,60.0,53.0,45.0,"{'a': 1.0, 'loc': 186.0, 'scale': 30.200000000000003}",0.083,High,50.5
DK Metcalf,WR,SEA,234.0,197.0,260.0,15.0,5.8,5.0,24.0,32.0,36.0,"{'a': -4.5, 'loc': 258.25, 'scale': 31.3}",0.034,Medium,25.5
Darren Waller,TE,NYG,179.0,163.0,196.0,5.0,8.7,13.0,46.0,54.0,53.0,"{'a': 1.25, 'loc': 171.0, 'scale': 12.8}",0.088, High,
Breece Hall,RB,NYJ,201.0,176.0,230.0,22.0,5.0,7.0,52.0,39.0,57.0,"{'a': 1.75, 'loc': 185.25, 'scale': 22.85}",0.09, High,53.0
Calvin Ridley,WR,JAC,231.0,204.0,255.0,16.5,4.2,9.0,38.0,36.0,33.0,"{'a': -1.5, 'loc': 244.75, 'scale': 20.75}",0.024,Low,27.5
Keenan Allen,WR,LAC,231.0,209.0,251.0,16.5,6.5,5.0,40.0,40.0,43.0,"{'a': -1.5, 'loc': 242.5, 'scale': 17.1}",0.023,Low,27.5
Amari Cooper,WR,CLE,229.0,203.0,267.0,18.0,4.2,5.0,41.0,43.0,42.0,"{'a': 6.0, 'loc': 203.25, 'scale': 32.6}",0.027,Low,30.0
JK Dobbins,RB,BAL,197.0,163.0,241.0,23.0,6.8,13.0,83.0,57.0,52.0,"{'a': 3.0, 'loc': 169.0, 'scale': 36.8}",0.032,Low,56.0
Deebo Samuel,WR,SF,228.0,205.0,263.0,19.0,4.6,9.0,36.0,37.0,39.0,"{'a': 6.25, 'loc': 205.0, 'scale': 29.55}",0.138, High,31.5
Christian Watson,WR,GB,226.0,208.0,254.0,20.0,5.1,6.0,49.0,61.0,55.0,"{'a': 5.75, 'loc': 208.25, 'scale': 23.3}",0.058,High,33.0
Dallas Goedert,TE,PHI,168.0,143.0,189.0,6.0,6.9,10.0,62.0,60.0,75.0,"{'a': -2.0, 'loc': 182.25, 'scale': 20.0}",0.058, High,
Chris Godwin,WR,TB,220.0,195.0,249.0,21.0,4.9,5.0,54.0,62.0,66.0,"{'a': 1.75, 'loc': 204.25, 'scale': 22.85}",0.132, High,34.0
Kyle Pitts,TE,ATL,166.0,156.0,179.0,7.0,7.5,11.0,58.0,59.0,73.0,"{'a': 3.0, 'loc': 157.75, 'scale': 10.85}",0.055, High,
Justin Fields,QB,CHI,304.0,283.0,327.0,6.0,6.5,13.0,44.0,45.0,48.0,"{'a': 1.25, 'loc': 293.5, 'scale': 17.15}",0.122, High,
James Cook,RB,BUF,187.0,154.0,217.0,24.0,6.9,13.0,65.0,84.0,54.0,"{'a': -1.5, 'loc': 204.25, 'scale': 25.7}",0.024,Low,58.5
Justin Herbert,QB,LAC,303.0,285.0,339.0,7.0,5.7,5.0,42.0,47.0,44.0,"{'a': 6.25, 'loc': 285.0, 'scale': 27.6}",0.063, High,
Terry McLaurin,WR,WAS,217.0,185.0,273.0,22.0,5.3,14.0,66.0,50.0,51.0,"{'a': 6.25, 'loc': 185.0, 'scale': 44.85}",0.057,High,35.5
Javonte Williams,RB,DEN,185.0,135.0,225.0,25.5,7.4,9.0,72.0,79.0,49.0,"{'a': -2.5, 'loc': 215.5, 'scale': 41.0}",0.048,Medium,62.5
Cam Akers,RB,LAR,185.0,149.0,216.0,25.5,6.6,10.0,68.0,67.0,63.0,"{'a': -1.75, 'loc': 204.5, 'scale': 28.35}",0.038,Medium,62.5
Mike Evans,WR,TB,216.0,183.0,251.0,23.5,6.7,5.0,63.0,74.0,82.0,"{'a': 1.0, 'loc': 202.0, 'scale': 25.05}",0.109, High,37.5
Mike Williams,WR,LAC,216.0,181.0,254.0,23.5,6.5,5.0,64.0,71.0,58.0,"{'a': 1.25, 'loc': 198.5, 'scale': 28.35}",0.09, High,37.5
Alvin Kamara,RB,NO,183.0,152.0,200.0,27.5,7.9,11.0,51.0,64.0,64.0,"{'a': -5.5, 'loc': 199.5, 'scale': 24.2}",0.074,High,64.0
DeAndre Hopkins,WR,TEN,214.0,196.0,239.0,25.5,5.5,7.0,48.0,49.0,60.0,"{'a': 4.0, 'loc': 197.75, 'scale': 21.0}",0.085, High,39.5
Christian Kirk,WR,JAC,214.0,191.0,250.0,25.5,5.9,9.0,84.0,72.0,67.0,"{'a': 6.25, 'loc': 191.0, 'scale': 30.1}",0.031,Medium,39.5
David Montgomery,RB,DET,182.0,163.0,203.0,29.0,6.5,9.0,75.0,82.0,77.0,"{'a': 1.5, 'loc': 171.25, 'scale': 16.15}",0.063,High,65.0
DJ Moore,WR,CHI,212.0,188.0,242.0,27.0,4.9,13.0,55.0,51.0,56.0,"{'a': 2.5, 'loc': 193.75, 'scale': 24.65}",0.052,High,42.0
Evan Engram,TE,JAC,156.0,148.0,173.0,8.0,8.3,9.0,77.0,77.0,90.0,"{'a': 6.25, 'loc': 148.0, 'scale': 12.8}",0.029,High,
